Year,Player,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2014,Muhammad Wilkerson,0,0,0,0,5,1,0,0,0,0,6.0,56,31,25,13,21,0,6
2014,Michael Bennett,0,0,0,0,0,1,0,0,0,0,7.0,38,26,12,14,19,0,8
2014,Jurrell Casey,0,0,0,0,0,0,0,0,0,0,5.0,68,46,22,13,18,0,7
2014,Calais Campbell,1,23,0,23,3,1,0,0,0,0,7.0,58,48,10,16,11,0,15
2015,Khalil Mack,0,0,0,0,2,2,0,0,0,0,15.0,77,57,20,23,24,0,15
2015,Muhammad Wilkerson,0,0,0,0,7,3,0,0,0,0,12.0,64,39,25,11,28,0,16
2015,Ezekiel Ansah,0,0,0,0,1,4,0,2,1,0,14.5,47,39,8,15,34,0,12
2015,Chandler Jones,1,0,0,0,2,4,0,0,0,0,12.5,44,31,13,11,18,0,12
2015,Michael Bennett,0,0,0,0,0,2,0,0,0,0,10.0,52,33,19,18,30,0,12
2015,Carlos Dunlap,0,0,0,0,1,2,0,1,21,0,13.5,55,37,18,16,34,0,13
2015,Calais Campbell,0,0,0,0,3,0,0,1,0,0,5.0,61,46,15,16,20,0,10
2015,Cameron Heyward,0,0,0,0,2,1,0,0,0,0,7.0,54,39,15,15,13,0,9
2015,Cameron Jordan,0,0,0,0,5,1,0,2,0,0,10.0,45,32,13,15,20,0,8
2016,Khalil Mack,1,6,1,6,3,5,0,3,1,0,11.0,73,54,19,14,26,0,16
2016,J.J. Watt,0,0,0,0,0,0,0,1,0,0,1.5,8,1,7,1,5,0,2
2016,Michael Bennett,0,0,0,0,0,0,0,0,0,0,5.0,34,24,10,14,19,0,9
2016,Jadeveon Clowney,0,0,0,0,2,1,0,0,0,0,6.0,52,40,12,16,17,0,14
2016,Cliff Avril,0,0,0,0,3,5,0,0,0,0,11.5,39,20,19,8,26,0,11
2016,Cameron Wake,1,12,0,12,2,5,0,0,0,0,11.5,29,22,7,6,24,0,11
2016,Calais Campbell,1,1,0,1,6,2,0,3,53,1,8.0,53,34,19,12,21,1,16
2016,Everson Griffen,0,0,0,0,1,2,0,3,20,1,8.0,48,36,12,9,22,0,13
2016,Brandon Graham,0,0,0,0,1,2,0,1,4,0,5.5,59,41,18,14,22,0,13
2016,Joey Bosa,0,0,0,0,0,0,0,0,0,0,10.5,41,29,12,17,21,0,5
2017,Calais Campbell,0,0,0,0,3,3,0,1,10,1,14.5,67,47,20,14,30,0,16
2017,Khalil Mack,0,0,0,0,3,1,0,1,0,0,10.5,78,61,17,15,22,0,11
2017,Everson Griffen,0,0,0,0,1,3,0,0,0,0,13.0,45,31,14,12,25,0,15
2017,Cameron Jordan,1,0,1,0,11,2,0,0,0,0,13.0,62,48,14,17,28,0,17
2017,Chandler Jones,0,0,0,0,3,2,0,0,0,0,17.0,59,52,7,28,33,0,15
2017,Jadeveon Clowney,0,0,0,0,2,2,0,2,75,1,9.5,59,41,18,21,21,0,10
2017,DeMarcus Lawrence,0,0,0,0,1,4,0,2,0,0,14.5,58,35,23,14,26,0,14
2017,Joey Bosa,0,0,0,0,1,4,0,1,1,0,12.5,70,54,16,11,21,0,13
2017,Cameron Heyward,0,0,0,0,3,2,0,1,0,0,12.0,45,30,15,16,22,0,16
2017,Cameron Wake,0,0,0,0,0,0,0,0,0,0,10.5,36,26,10,12,27,0,7
2017,Melvin Ingram,0,0,0,0,1,1,0,2,39,1,10.5,56,43,13,17,25,0,13
2017,J. J. Watt,0,0,0,0,2,0,0,0,0,0,0.0,15,11,4,3,5,0,2
2017,Bruce Irvin,0,0,0,0,3,4,0,0,0,0,8.0,58,38,20,14,12,0,7
2017,Yannick Ngakoue,0,0,0,0,0,6,0,2,67,1,12.0,30,24,6,10,23,0,12
2017,Mike Daniels,0,0,0,0,0,1,0,0,0,0,5.0,49,34,15,10,14,0,9
2018,J. J. Watt,0,0,0,0,4,7,0,0,0,0,16.0,61,47,14,18,25,0,17
2018,Akiem Hicks,0,0,0,0,5,3,0,0,0,0,7.5,55,41,14,12,16,0,13
2018,Cameron Jordan,0,0,0,0,6,1,0,1,0,0,12.0,49,35,14,18,21,0,12
2018,DeMarcus Lawrence,1,13,0,13,1,2,0,1,5,0,10.5,64,42,22,15,23,0,11
2018,Melvin Ingram,1,8,0,8,3,1,1,2,4,0,7.0,43,28,15,8,16,0,11
2018,Myles Garrett,0,0,0,0,3,3,0,0,0,0,13.5,44,35,9,12,29,0,14
2018,Calais Campbell,0,0,0,0,2,1,0,1,0,0,10.5,72,53,19,20,22,0,13
2018,Joey Bosa,0,0,0,0,0,0,0,1,0,0,5.5,23,18,5,7,9,0,4
2018,Danielle Hunter,0,0,0,0,0,0,0,1,32,1,14.5,72,51,21,21,19,0,17
2018,Dee Ford,0,0,0,0,0,7,0,0,0,0,13.0,55,42,13,13,29,0,8
2018,Frank Clark,1,26,0,26,2,3,0,2,0,0,13.0,41,33,8,10,27,0,10
2018,Cameron Heyward,0,0,0,0,3,1,0,1,0,0,8.0,51,29,22,10,18,0,11
2018,Jurrell Casey,0,0,0,0,0,2,0,1,1,0,7.0,62,36,26,11,11,0,12
2019,Nick Bosa,1,46,0,46,2,1,0,2,6,0,9.0,47,32,15,16,25,0,12
2019,Cameron Jordan,0,0,0,0,3,0,0,1,0,0,15.5,53,37,16,15,25,0,13
2019,Joey Bosa,0,0,0,0,0,1,0,0,0,0,11.5,67,47,20,18,31,0,12
2019,Danielle Hunter,0,0,0,0,0,3,0,1,4,0,14.5,70,52,18,15,22,0,12
2019,Jadeveon Clowney,1,27,1,27,3,4,0,2,10,1,3.0,31,21,10,7,13,0,6
2019,J. J. Watt,0,0,0,0,3,1,0,2,0,0,4.0,24,15,9,4,21,0,4
2019,Calais Campbell,0,0,0,0,1,2,0,1,8,1,6.5,56,37,19,10,25,0,10
2019,Myles Garrett,0,0,0,0,0,2,0,0,0,0,10.0,29,20,9,11,18,0,5
2019,Frank Clark,1,5,0,5,4,3,0,1,0,0,8.0,37,27,10,12,14,0,9
2020,Myles Garrett,0,0,0,0,2,4,0,2,0,0,12.0,48,33,15,10,18,0,15
2020,Joey Bosa,0,0,0,0,1,0,0,1,0,0,7.5,39,29,10,15,27,0,9
2020,Cameron Jordan,0,0,0,0,3,1,0,0,0,0,7.5,51,34,17,11,16,0,12
2020,J. J. Watt,1,19,1,19,7,2,0,1,0,0,5.0,52,36,16,14,17,0,7
2020,Trey Hendrickson,0,0,0,0,1,1,0,0,0,0,13.5,25,22,3,12,25,0,9
2020,Brandon Graham,0,0,0,0,0,2,0,1,0,0,8.0,46,35,11,13,16,0,11
2010,Haloti Ngata,0,0,0,0,5,0,0,1,0,0,5.5,63,47,16,12,14,0,17
2010,Vince Wilfork,0,0,0,0,2,0,0,1,0,0,2.0,57,46,11,8,4,0,11
2010,Ndamukong Suh,1,20,0,20,3,1,0,1,17,1,10.0,66,49,17,13,17,0,15
2010,Richard Seymour,0,0,0,0,2,0,0,1,13,0,5.5,48,36,12,10,13,0,8
2010,Jay Ratliff,0,0,0,0,2,1,0,2,0,0,3.5,31,23,8,3,8,0,8
2010,B. J. Raji,0,0,0,0,3,0,0,0,0,0,6.5,39,29,10,10,9,0,9
2011,Haloti Ngata,0,0,0,0,6,2,0,3,28,1,5.0,65,37,28,6,8,0,19
2011,Ndamukong Suh,0,0,0,0,1,0,0,0,0,0,4.0,36,26,10,6,9,0,6
2011,Vince Wilfork,2,47,0,28,5,1,0,2,0,1,3.5,52,29,23,6,10,0,13
2012,Vince Wilfork,0,0,0,0,6,3,0,4,2,0,3.0,48,29,19,6,4,0,16
2012,Geno Atkins,0,0,0,0,2,4,0,0,0,0,12.5,54,39,15,17,21,0,18
2012,Ndamukong Suh,0,0,0,0,2,0,0,0,0,0,8.0,34,24,10,17,32,0,12
2012,Haloti Ngata,0,0,0,0,1,0,0,0,0,0,5.0,51,33,18,7,14,0,13
2012,Gerald McCoy,0,0,0,0,2,1,0,1,0,0,5.0,30,23,7,9,15,0,10
2013,Gerald McCoy,0,0,0,0,4,0,0,1,12,0,9.5,50,35,15,15,21,0,14
2013,Kyle Williams,0,0,0,0,1,1,0,1,0,0,10.5,68,42,26,14,22,0,11
2013,Ndamukong Suh,0,0,0,0,6,1,0,0,0,0,5.5,49,36,13,9,20,1,16
2013,Haloti Ngata,0,0,0,0,3,0,0,0,0,0,1.5,52,23,29,3,6,0,11
2013,Geno Atkins,0,0,0,0,0,0,0,0,0,0,6.0,20,9,11,5,13,0,5
2013,Marcell Dareus,0,0,0,0,3,1,0,0,0,0,7.5,71,46,25,8,12,0,10
2013,Sheldon Richardson,0,0,0,0,1,1,0,0,0,0,3.5,78,42,36,12,8,0,13
2014,Ndamukong Suh,0,0,0,0,3,0,0,0,0,0,8.5,53,44,9,21,20,0,18
2014,Gerald McCoy,0,0,0,0,3,1,0,0,0,0,8.5,35,28,7,13,13,0,9
2014,Marcell Dareus,0,0,0,0,1,1,0,0,0,0,10.0,49,36,13,12,14,0,18
2014,Kyle Williams,1,2,0,2,3,0,0,0,0,0,5.5,41,30,11,8,16,0,12
2014,Sen'Derrick Marks,0,0,0,0,3,0,0,1,0,0,8.5,44,34,10,15,17,0,7
2014,Haloti Ngata,2,16,0,13,7,2,0,0,0,0,2.0,32,19,13,2,3,0,6
2014,Aaron Donald,0,0,0,0,1,2,0,0,0,0,9.0,48,38,10,18,13,0,11
2015,Aaron Donald,0,0,0,0,1,0,0,1,40,0,11.0,69,44,25,22,37,0,18
2015,Geno Atkins,0,0,0,0,0,1,0,0,0,0,11.0,42,31,11,17,21,0,18
2015,Ndamukong Suh,0,0,0,0,5,0,0,0,0,0,6.0,61,39,22,17,20,0,7
